,0,1,2,25,3,4,5,6,7,75,8,9,max,mean,median,min,power
0,9846.0,784.4079356574877,1402.4818038781495,-1797.0,912.3755753403083,329.8663210918798,20.0,329.8663210918798,912.3755753403083,1807.0,1402.4818038781495,784.4079356574877,17769.0,0.2725191349657384,10.0,-23116.0,2679.2700498456666
1,5999.0,10147.003007323126,3110.2422327678237,-1817.0,1604.67970928015,2048.0991805836516,2089.0,2048.0991805836516,1604.67970928015,1826.0,3110.2422327678237,10147.003007323126,16499.0,0.25051122916015367,9.0,-16559.0,2713.3654379755044
2,11764.0,2323.2512851247116,3174.407692125327,-1861.0,972.4204163664883,894.6718974996126,542.0,894.6718974996126,972.4204163664883,1864.0,3174.407692125327,2323.2512851247116,24505.0,0.22881254704110335,3.0,-20785.0,2780.038129234921
3,1070.0,9250.180845088704,3932.8154806655093,-1900.0,2120.0288519626415,1492.2842876066602,1162.0,1492.2842876066602,2120.0288519626415,1902.0,3932.8154806655093,9250.180845088704,18030.0,0.2631029136831881,1.0,-24550.0,2832.9398158097183
4,7591.0,17196.417311872192,4215.168136409585,-1925.0,1607.559216931786,1586.6110367060187,1565.0,1586.6110367060187,1607.559216931786,1934.0,4215.168136409585,17196.417311872192,31417.0,0.2189905346749561,8.0,-32218.0,2892.610758467167
5,21016.0,7112.861236824097,4859.20367880633,-1978.0,2112.7250236803575,2353.7250493366973,1986.0,2353.7250493366973,2112.7250236803575,1978.0,4859.20367880633,7112.861236824097,32767.0,0.28506995635865706,1.0,-30909.0,2970.4891853026497
6,11244.0,8790.58590296128,2557.9400627489013,-1890.0,3208.5312033169325,2535.5353745085376,2448.0,2535.5353745085376,3208.5312033169325,1890.0,2557.9400627489013,8790.58590296128,15036.0,0.23083758215879335,-1.0,-15625.0,2799.5828260653407
7,14008.0,7425.2324500347995,362.01605219865587,-1947.0,825.0000381516384,638.1476145458042,644.0,638.1476145458042,825.0000381516384,1946.0,362.01605219865587,7425.2324500347995,24747.0,0.2560796557016267,-1.0,-31973.0,2892.292343453545
8,2389.0,5521.1475479576475,4002.391630494904,-1923.0,1254.754858002651,1134.8097797183218,1315.0,1134.8097797183218,1254.754858002651,1923.0,4002.391630494904,5521.1475479576475,18219.0,0.2697053994335966,0.0,-15349.0,2852.3551672258486
9,31571.0,12352.252859188775,1268.6259309157942,-1923.0,868.4390034209218,171.07088416218943,549.0,171.07088416218943,868.4390034209218,1924.0,1268.6259309157942,12352.252859188775,18900.0,0.2487235722256325,2.0,-16833.0,2850.086489915701
